scenario,gtap_region,resolution,disbursement,gdp_2030,gdp_2040,gdp_2050
24,Costa Rica,individual,none,-0.117,-0.397,-0.432
24,Croatia,individual,none,-0.023,-0.077,-0.087
24,Cyprus,individual,none,-0.058,-0.196,-0.224
24,Côte d'Ivoire,individual,none,-0.076,-0.311,-0.334
24,Denmark,individual,none,-0.024,-0.080,-0.094
24,Dominican Republic,individual,none,-0.066,-0.249,-0.275
24,Ecuador,individual,none,-0.089,-0.296,-0.322
24,Egypt,individual,none,-0.089,-0.330,-0.406
24,El Salvador,individual,none,-0.083,-0.281,-0.310
24,Equatorial Guinea,individual,none,0.000,0.003,0.026
24,Estonia,individual,none,-0.038,-0.122,-0.148
24,Eswatini,individual,none,-0.015,-0.055,-0.057
24,Finland,individual,none,-0.036,-0.117,-0.144
24,France,individual,none,-0.013,-0.042,-0.049
24,Gabon,individual,none,-0.091,-0.337,-0.411
24,Georgia,individual,none,-0.052,-0.181,-0.215
24,Germany,individual,none,-0.020,-0.067,-0.081
24,Ghana,individual,none,-0.068,-0.281,-0.314
24,Greece,individual,none,-0.036,-0.112,-0.131
24,Guatemala,individual,none,-0.100,-0.306,-0.339
24,Honduras,individual,none,-0.139,-0.468,-0.519
24,India,individual,none,-0.031,-0.123,-0.151
24,Indonesia,individual,none,-0.064,-0.215,-0.283
24,Iran (Islamic Republic of),individual,none,-0.021,-0.079,-0.093
24,Iraq,individual,none,-0.032,-0.144,-0.179
24,Ireland,individual,none,-0.021,-0.074,-0.087
24,Israel,individual,none,-0.041,-0.143,-0.165
24,Italy,individual,none,-0.023,-0.077,-0.087
24,Japan,individual,none,-0.033,-0.108,-0.132
24,Jordan,individual,none,-0.020,-0.069,-0.082
24,Kenya,individual,none,-0.134,-0.469,-0.510
24,Kuwait,individual,none,-0.036,-0.145,-0.168
24,Latvia,individual,none,-0.044,-0.138,-0.169
24,Lithuania,individual,none,-0.043,-0.134,-0.156
24,Madagascar,individual,none,-0.096,-0.390,-0.432
24,Malaysia,individual,none,-0.083,-0.292,-0.356
24,Malta,individual,none,-0.160,-0.565,-0.621
24,Mauritius,individual,none,-0.070,-0.244,-0.263
24,Mexico,individual,none,-0.026,-0.092,-0.117
24,Morocco,individual,none,-0.081,-0.274,-0.322
24,Namibia,individual,none,-0.019,-0.076,-0.076
24,Netherlands (Kingdom of the),individual,none,-0.025,-0.082,-0.098
