iso3,income_group,gdp_pc,mean_distance_nm,t_per_musd,t_per_capita,share_pct,resolved,sids,ldc
LBR,Low income,915.3289726455479,1459.7249323322203,166.37078961399845,0.1522840039356097,0.0244302660372884,False,False,True
BGR,High income,20328.166706615048,441.5124763750545,6.206292947098734,0.1261625576587123,0.022719162312787,True,False,False
NIC,Lower middle income,3173.3372481377814,859.9351406849761,34.519683770578446,0.1095425983031138,0.0214869196036006,True,False,False
MDV,Upper middle income,14614.72081234566,1398.7841888429505,97.52269179116573,1.425266913396321,0.0211316976914165,False,True,False
YEM,Low income,517.2170192817626,904.5930694491784,34.1045912420575,0.0176394750260398,0.0206261580071912,False,False,True
HTI,Lower middle income,2694.1896909944026,836.744843254601,21.506465898495904,0.0579424987134503,0.0193105415663613,False,True,True
SOM,Low income,661.1738777095946,1138.529355414662,52.91724801940045,0.0349875020707073,0.0192489971743181,False,False,True
GEO,Upper middle income,9691.534724117237,552.2408405808119,17.99100358031584,0.1743604359203485,0.0192090154684532,True,False,False
SLB,Lower middle income,2086.189559348711,1665.3200946658524,374.6485028544994,0.7815877950806825,0.0183477925685456,False,True,True
GUY,High income,32413.793075482125,764.9672505886394,23.09821463274163,0.7487007495187605,0.017520042804232,False,True,False
SYC,High income,19449.383630734133,1655.2502016806104,226.01153123564717,4.395784975971751,0.0151013253754688,False,True,False
BRB,High income,28364.81814997364,607.2154387978459,54.87895791098969,1.5566316614052798,0.0123146267221738,False,True,False
COM,Lower middle income,2055.759215356681,1411.4864571519186,238.79455914776216,0.4909041155450481,0.0121313744821898,False,True,True
LCA,Upper middle income,14745.81842807898,431.7821734057352,143.02760652717768,2.109059116052486,0.010635269492827,False,True,False
VUT,Lower middle income,4038.735208208396,933.7221956573118,277.52733868669293,1.1208594339943228,0.0105158137525181,False,True,False
MHL,Upper middle income,8489.057935064218,1446.6540282273652,1158.0925617886885,9.831114851191115,0.0099843978758339,False,True,False
GMB,Low income,919.060423593411,1147.671006760042,130.62765486229475,0.1200547078107545,0.0094837130956877,False,False,True
SUR,Upper middle income,7069.872309134954,832.3087314078552,74.10144903892737,0.5238877826270875,0.0093830565841351,False,True,False
FSM,Upper middle income,4414.007371374788,895.2611098581099,573.5201817804159,2.531522310010964,0.0080557350749766,False,True,False
ALB,Upper middle income,12998.147869406446,580.4279602020418,9.248894403679216,0.1202184970875482,0.0079065936907445,True,False,False
ASM,High income,18922.852983988356,933.4850901369666,323.88238660853915,6.128778785896665,0.007896477028536,False,False,False
BLZ,Upper middle income,7865.479376909327,999.415949897993,68.97693376436227,0.5425366500060321,0.0064227246400194,False,True,False
KIR,Lower middle income,2558.666358947307,2052.427576753634,590.6650338934019,1.5113147516295182,0.0057740066785265,False,True,True
WSM,Upper middle income,5872.783334701285,630.6546196481912,143.81220407158753,0.8445779153982795,0.0051846342583986,False,True,False
ATG,High income,24819.24546487066,456.4130967220072,79.07160083809238,1.9624974705008875,0.0051752268346078,False,True,False
MNE,Upper middle income,14816.838030327588,634.8170701537517,19.37665034002582,0.2871006896584546,0.0050077205976534,False,False,False
TON,Upper middle income,6547.186472209905,811.0362862173725,258.3840053137344,1.691688264225494,0.0049125031661337,False,True,False
SYR,Low income,926.5120618013119,448.737161884908,7.00101859772776,0.00648652817569,0.0046518592181482,True,False,False
TLS,Lower middle income,1340.9640194653994,1214.0231005488706,71.82515186687803,0.0963149443461215,0.0038243366314681,False,True,True
ERI,Low income,572.4978953441403,1468.6853622703015,60.24335227347484,0.0344891923850399,0.0034822297284814,False,False,True
GNB,Low income,1123.7667999546568,1299.3930367646117,41.298422482843726,0.0464097960767207,0.0029223110756642,False,True,True
PLW,High income,19532.35577195267,1052.8066572581777,270.137835834552,5.276428316985815,0.0026087496380503,False,True,False
