country,co2_t,cost_usd,voyages,mean_distance_nm,co2_share_pct,rank,population,gdp_usd,cost_per_capita_usd,cost_share_of_gdp_pct
URY,5892064.435968472,589206443.5968472,12648.0,1416.9613625693562,0.16492837429804605,67,3384688.0,85347696278.0,174.0799871647984,0.6903601026062216
PNG,5821255.533405084,582125553.3405085,11454.5,1266.0278885524997,0.16294631905874543,68,10762817.0,32498658654.0,54.08672779073624,1.7912294766936765
POL,5174387.856661476,517438785.66614765,20813.0,671.4488671078274,0.14483945083442648,69,36435861.0,1035491784197.0,14.201360183752694,0.04997034197305674
COG,5125842.743875754,512584274.3875754,5610.5,1540.1406367307357,0.1434805949327516,70,6484437.0,16306633779.0,79.04838529352284,3.1434094941636044
CRI,5108192.637404872,510819263.7404872,10162.5,1181.4826978658004,0.14298654002244554,71,5152950.0,102904921157.0,99.13142253281852,0.4963992567091523
KEN,4886633.990542782,488663399.0542782,6208.5,2153.178167885552,0.13678475661770698,72,57532493.0,135941278879.0,8.493694146962799,0.3594665307579111
NAM,4682872.782810079,468287278.2810079,3765.5,2815.9174062993584,0.13108115220170447,73,3092816.0,15080340654.0,151.41129581617784,3.105283156563155
VEN,4593711.790962438,459371179.0962438,11472.0,1068.7613930054424,0.12858539242242167,74,28516896.0,99661244156.0,16.1087370482483,0.46093261526736407
CMR,4470242.2698333915,447024226.98333913,7560.0,1388.5788753757613,0.12512928164555018,75,29879337.0,58933453924.0,14.960982132345812,0.7585237199228424
IRN,4465751.436753401,446575143.67534006,13070.0,884.2274736642981,0.12500357599396134,76,92417681.0,362682115433.0,4.83213968196562,0.12313128347731776
SEN,4242959.90372412,424295990.372412,7592.5,1685.100963904451,0.1187672821195124,77,18931966.0,37006536238.0,22.4116180206753,1.1465433772121736
FIN,4041770.6691496484,404177066.91496485,28566.5,523.8134893868838,0.11313567137505492,78,5646436.0,317039368820.0,71.5809170448341,0.12748481944664655
DJI,3905410.6199954925,390541061.99954927,6736.5,1425.8736854997514,0.10931873395514023,79,1184076.0,4624533092.0,329.8276985595091,8.444983617376378
TZA,3649307.9274131805,364930792.74131805,5197.0,1869.87767872036,0.10215000706832873,80,70545865.0,90143496090.0,5.1729579436203394,0.4048331921550593
BRN,3539442.008185175,353944200.8185175,5043.5,1214.842999778988,0.09907468302088271,81,466330.0,15031980994.0,758.9994227661045,2.354607825540719
GNQ,3483902.8876432525,348390288.76432526,2903.0,1957.1069281899495,0.09752005357640399,82,1938431.0,12823210426.0,179.72798039462083,2.7168725864307612
PRI,3162819.257160171,316281925.7160171,5709.5,1380.7956093467992,0.0885324055686841,83,3184835.0,129368484000.0,99.30873207435145,0.24448143468699618
IRL,2924876.623190487,292487662.31904864,14835.0,686.6801742536487,0.08187200797403957,84,5484367.0,721701359046.0,53.33116152129291,0.04052751995724121
LBY,2869972.353580483,286997235.35804826,12056.5,699.5505375230246,0.08033514902974134,85,7458555.0,48098909614.0,38.47893262945011,0.5966813752354021
GAB,2674525.063464685,267452506.34646848,3964.5,1762.831182933587,0.07486426455960932,86,2593130.0,21427119323.0,103.13887323291485,1.2481962802129138
JOR,2485741.729896513,248574172.98965126,5905.0,1153.4278687779613,0.06957991496731797,87,11520684.0,61610052535.0,21.576338088055472,0.403463660168832
REU,2372340.7231468973,237234072.31468976,2670.0,1688.2857055684694,0.06640563812594436,88,,,,
BHR,2239886.725141011,223988672.5141011,6593.5,867.9854810919651,0.06269803736940294,89,1600366.0,48965725532.0,139.9609042644627,0.45743970926708805
UKR,2217465.7304186695,221746573.04186696,16360.5,556.2597272648328,0.06207043761215537,90,38980376.0,214233312784.0,5.688671988229846,0.1035070457344989
COD,2217375.2878484884,221737528.78484884,3134.5,1191.82815253528,0.06206790597893421,91,112832473.0,91030531317.0,1.9651924919242783,0.24358588879667367
HND,2168059.9695125245,216805996.95125246,9974.0,629.8830465676849,0.06068749078328738,92,11005850.0,39601409103.0,19.699159715174428,0.5474704104274621
LTU,2131363.3791567194,213136337.91567194,8697.0,753.1003488713517,0.059660294109619386,93,2888774.0,95210150818.0,73.78089733418811,0.22385883866846829
NCL,2116443.9169472544,211644391.69472545,3437.5,1740.2397918990112,0.05924267433061849,94,295333.0,8548919387.0,716.6296746205993,2.475685897992729
EST,1904677.9074381941,190467790.74381942,10479.5,633.9437108398355,0.05331500261903561,95,1366475.0,47030833799.0,139.38622422204534,0.4049849329863875
SVN,1824852.759810028,182485275.98100278,3824.5,1180.2898092894231,0.05108056815731353,96,2130986.0,79648204979.0,85.6341974940252,0.22911411001555745
MMR,1794785.601554401,179478560.1554401,5657.0,1165.7475717961433,0.05023893996659135,97,54850648.0,81665773810.0,3.27213199296096,0.21977206825102402
MRT,1772579.9264939225,177257992.64939225,4000.5,1372.8583107354164,0.04961736735350886,98,5315065.0,11679910946.0,33.350108164132,1.5176313712400136
ROU,1734836.313360638,173483631.3360638,14014.5,481.1909074695007,0.04856086282579084,99,19020271.0,428677977855.0,9.120986306455034,0.040469452665642766
CYP,1714529.107671142,171452910.7671142,6574.0,675.0949850669475,0.04799243142839149,100,1370754.0,41225787247.0,125.07927080067918,0.4158875359732295
LBN,1638741.9118284287,163874191.18284288,7903.5,496.7370399769444,0.04587102574133847,101,5849421.0,25971643441.0,28.01545506518387,0.630973513690488
LVA,1601325.2305206463,160132523.05206463,8974.5,683.3977751311166,0.04482367256202682,102,1847785.0,48618869160.0,86.66188060410958,0.329362911599371
BEN,1587385.9705674334,158738597.05674335,3613.0,1065.336345983075,0.0444334902230546,103,14814460.0,24566420904.0,10.715111928260859,0.6461608619222873
BES,1512711.6285163115,151271162.85163116,2791.0,1383.6944079587884,0.042343235106174944,104,,,,
TUN,1492337.3571275596,149233735.71275595,7920.5,810.0564354953731,0.04177292643182628,105,12348573.0,57502836548.0,12.085099688260009,0.2595241290195908
HRV,1485988.791689375,148598879.16893747,4526.0,786.3460993897933,0.04159521985916005,106,3876200.0,105060182186.0,38.33622598651707,0.14144167283648523
SLE,1461691.3523021836,146169135.23021838,5995.5,666.5033311455372,0.04091509539323063,107,8819794.0,7464157904.0,16.57285138748347,1.9582803192291411
ISL,1446025.0324392107,144602503.24392107,5545.0,709.5914282462143,0.04047656986549536,108,392404.0,38582528789.0,368.50415195543644,0.3747875211464825
CUB,1308741.9687495043,130874196.87495044,3973.5,1214.0312874773738,0.03663379578197046,109,10937203.0,107352000000.0,11.965965784392083,0.12191127959884347
MDG,1255407.7008684156,125540770.08684157,3460.0,1173.0745546356497,0.03514088371496951,110,32740678.0,19620352036.0,3.8343973844048547,0.6398497328513559
PYF,1252600.9164713607,125260091.64713608,968.5,3206.19195577584,0.03506231729862392,111,282465.0,6323716355.0,443.45349564418984,1.9807987046746038
VIR,1213108.7857614527,121310878.57614526,4391.5,790.2116390606218,0.03395686894748407,112,103792.0,4672000000.0,1168.788332204267,2.596551339386671
FJI,1200502.2418946752,120050224.18946752,3809.5,938.307192165891,0.033603991478464525,113,933154.0,6198013062.0,128.6499593737663,1.9369146690815335
SDN,1192074.5477899015,119207454.77899015,2646.5,1167.2598656606892,0.033368086745431326,114,51662147.0,60162634574.0,2.307442909389541,0.19814201226903563
SLV,1160412.7180591363,116041271.80591363,3879.0,1027.131263394299,0.03248182113147792,115,6365503.0,36708110000.0,18.229709703367295,0.3161188952684124
GLP,1152128.7992845075,115212879.92845076,2793.5,904.4598838099159,0.032249940901523846,116,,,,
GUM,1049799.5998030326,104979959.98030326,1497.5,1469.6517393146823,0.02938558177967285,117,168999.0,6910000000.0,621.1868708116809,1.5192468882822467
KHM,1012395.9081519558,101239590.81519558,4115.5,736.6856472502819,0.028338592201775693,118,17847982.0,51267065843.0,5.67232703479842,0.19747490742932544
CPV,1000836.4290899502,100083642.90899502,2046.5,1785.6761602688014,0.028015023763217788,119,527326.0,3056630435.0,189.79462971481593,3.2743128434169053
LBR,872770.9970597903,87277099.70597903,2087.0,1459.7249323322205,0.024430266037288498,120,5731206.0,5245938900.0,15.228400393560976,1.6637078961399845
BGR,811641.834510909,81164183.4510909,7439.0,441.5124763750545,0.02271916231278708,121,6433302.0,130777235530.0,12.616255765871228,0.06206292947098734
NIC,767619.9766942668,76761997.66942668,2985.5,859.9351406849761,0.021486919603600694,122,7007502.0,22237167113.0,10.954259830311383,0.3451968377057844
MDV,754929.6776201096,75492967.76201096,1772.0,1398.7841888429505,0.021131697691416578,123,529676.0,7741066861.0,142.5266913396321,0.9752269179116572
ABW,739261.6596676491,73926165.96676491,2163.5,836.6472472148774,0.020693124631421325,124,108785.0,4167588070.0,679.5621268259862,1.7738357228468817
YEM,736869.277721837,73686927.7721837,3258.5,904.5930694491783,0.020626158007191267,125,41773878.0,21606160663.0,1.7639475026039886,0.34104591242057497
HTI,689868.8942197174,68986889.42197174,3130.0,836.744843254601,0.019310541566361365,126,11906095.0,32077278409.0,5.794249871345033,0.21506465898495902
SOM,687670.2214617128,68767022.14617129,1962.5,1138.529355414662,0.019248997174318154,127,19654739.0,12995200000.0,3.498750207070737,0.5291724801940045
GEO,686241.8754404864,68624187.54404864,5192.5,552.2408405808119,0.019209015468453248,128,3935766.0,38143612855.0,17.43604359203485,0.1799100358031584
SLB,655474.696405439,65547469.6405439,1550.5,1665.3200946658524,0.018347792568545636,129,838645.0,1749572443.0,78.15877950806825,3.746485028544994
MTQ,636756.4716570611,63675647.16570611,2404.0,653.1439671769324,0.01782383930716417,130,,,,
GUY,625903.3447871906,62590334.47871905,4221.5,764.9672505886394,0.017520042804232007,131,835986.0,27097477218.0,74.87007495187605,0.23098214632741626
CUW,620514.5757929601,62051457.579296015,2025.5,862.2921447286374,0.017369202480039245,132,156263.0,3561178212.0,397.0962900961585,1.74244179553281
FRO,618707.3998222589,61870739.98222589,2641.0,635.6116258457794,0.01731861671368225,133,54900.0,4052937170.0,1126.9715843756992,1.52656548540144
SXM,571708.1955350633,57170819.55350633,1748.0,682.6731612646823,0.01600303328097751,134,43923.0,1887728480.0,1301.6146336431102,3.0285509891500038
SYC,539494.690101013,53949469.01010131,851.0,1655.2502016806104,0.015101325375468851,135,122730.0,2387022853.0,439.5784975971752,2.2601153123564717
GRL,485832.79731468204,48583279.7314682,3576.0,308.25783486997767,0.013599242559643213,136,56831.0,3326543974.0,854.8728639557319,1.4604730949355007
BRB,439939.9100413444,43993991.00413444,2331.0,607.2154387978459,0.012314626722173854,137,282623.0,8016550000.0,155.66316614052798,0.5487895791098969
COM,433393.2256965991,43339322.56965991,882.0,1411.4864571519186,0.012131374482189851,138,882847.0,1814920856.0,49.09041155450481,2.3879455914776213
LCA,379944.8906977393,37994489.069773935,2572.0,431.7821734057352,0.010635269492827093,139,180149.0,2656444444.0,210.90591160524863,1.4302760652717772
VUT,375677.33563244314,37567733.56324431,984.5,933.7221956573118,0.010515813752518133,140,335169.0,1353658841.0,112.08594339943227,2.7752733868669286
MHL,356692.5090309161,35669250.90309161,955.0,1446.6540282273652,0.009984397875833904,141,36282.0,308000000.0,983.1114851191116,11.580925617886887
GMB,338805.55052977556,33880555.052977555,1079.0,1147.671006760042,0.009483713095687771,142,2822093.0,2593673988.0,12.005470781075449,1.306276548622947
SUR,335209.59771394194,33520959.771394197,1797.5,832.3087314078552,0.009383056584135139,143,639850.0,4523657797.0,52.388778262708755,0.7410144903892737
FSM,287791.0507689764,28779105.07689764,1408.5,895.2611098581099,0.008055735074976648,144,113683.0,501797600.0,253.15223100109637,5.735201817804159
ALB,282462.9763869615,28246297.638696156,1997.0,580.4279602020418,0.007906593690744597,145,2349580.0,30540188271.0,12.021849708754823,0.09248894403679217
ASM,282101.5587360376,28210155.873603757,844.0,933.4850901369666,0.00789647702853608,146,46029.0,871000000.0,612.8778785896665,3.2388238660853914
BLZ,229451.77016715112,22945177.016715113,827.0,999.415949897993,0.006422724640019473,147,422924.0,3326500000.0,54.25366500060321,0.6897693376436228
KIR,206276.32782040967,20627632.78204097,418.5,2052.427576753634,0.005774006678526593,148,136488.0,349227254.0,151.13147516295183,5.9066503389340195
WSM,185221.0043143351,18522100.43143351,914.0,630.6546196481912,0.005184634258398685,149,219306.0,1287936622.0,84.45779153982795,1.4381220407158755
ATG,184884.9241984181,18488492.41984181,1390.0,456.41309672200714,0.005175226834607845,150,94209.0,2338196296.0,196.24974705008876,0.7907160083809239
MNP,183069.44475221698,18306944.475221697,682.5,873.7083188315034,0.005124408640596657,151,43541.0,1096000000.0,420.4530092377689,1.6703416491990601
MYT,180484.63565451175,18048463.565451175,552.0,846.5213264048843,0.005052055670430055,152,,,,
MNE,178900.76564618314,17890076.56461831,1057.0,634.8170701537517,0.0050077205976534565,153,623129.0,9232801465.0,28.710068965845455,0.19376650340025817
TON,175499.1239072812,17549912.39072812,849.0,811.0362862173725,0.004912503166133759,154,103742.0,679218219.0,169.1688264225494,2.5838400531373438
ESH,171714.17315780258,17171417.315780256,714.0,1112.0732959340103,0.0048065562979870136,155,,,,
SYR,166187.6216087108,16618762.16087108,1450.0,448.73716188490795,0.004651859218148266,156,25620427.0,23737634644.0,0.6486528175690077,0.07001018597727761
GUF,145878.9870020431,14587898.700204311,701.0,773.1700589606368,0.0040833878230556245,157,,,,
