iso3,co2_t,share_pct,resolved,sids,ldc,dependency,t_per_capita,t_per_musd
PNG,5821255.533405084,0.16294631905874543,False,True,False,False,0.5408672779073623,179.12294766936765
POL,5174387.856661476,0.14483945083442648,True,False,False,False,0.14201360183752695,4.997034197305674
COG,5125842.743875754,0.1434805949327516,False,False,False,False,0.7904838529352285,314.3409494163605
CRI,5108192.637404872,0.14298654002244554,True,False,False,False,0.9913142253281853,49.639925670915225
KEN,4886633.990542782,0.13678475661770698,True,False,False,False,0.08493694146962798,35.946653075791104
NAM,4682872.782810079,0.13108115220170447,True,False,False,False,1.5141129581617785,310.5283156563155
VEN,4593711.790962438,0.12858539242242167,True,False,False,False,0.16108737048248303,46.093261526736406
CMR,4470242.269833392,0.1251292816455502,True,False,False,False,0.14960982132345815,75.85237199228426
IRN,4465751.436753401,0.12500357599396134,True,False,False,False,0.04832139681965619,12.313128347731775
SEN,4242959.90372412,0.1187672821195124,False,False,True,False,0.22411618020675295,114.65433772121735
FIN,4041770.669149648,0.1131356713750549,True,False,False,False,0.7158091704483408,12.748481944664654
DJI,3905410.619995493,0.10931873395514023,False,False,True,False,3.298276985595091,844.4983617376379
TZA,3649307.927413181,0.10215000706832875,True,False,True,False,0.0517295794362034,40.48331921550593
BRN,3539442.008185175,0.09907468302088271,True,False,False,False,7.589994227661045,235.46078255407184
GNQ,3483902.8876432525,0.09752005357640399,True,False,False,False,1.7972798039462083,271.6872586430761
PRI,3162819.257160171,0.0885324055686841,False,False,False,True,0.9930873207435145,24.44814346869962
IRL,2924876.623190487,0.08187200797403957,True,False,False,False,0.5333116152129291,4.052751995724121
LBY,2869972.353580483,0.08033514902974134,False,False,False,False,0.38478932629450113,59.668137523540224
GAB,2674525.063464685,0.07486426455960932,True,False,False,False,1.0313887323291484,124.8196280212914
JOR,2485741.729896513,0.06957991496731797,True,False,False,False,0.21576338088055474,40.3463660168832
REU,2372340.7231468973,0.06640563812594436,False,False,False,True,,
BHR,2239886.725141011,0.06269803736940294,True,False,False,False,1.399609042644627,45.74397092670881
UKR,2217465.730418669,0.06207043761215535,True,False,False,False,0.056886719882298445,10.350704573449887
COD,2217375.2878484884,0.06206790597893421,False,False,True,False,0.019651924919242784,24.35858887966737
HND,2168059.9695125245,0.06068749078328738,True,False,False,False,0.19699159715174425,54.74704104274622
LTU,2131363.3791567194,0.059660294109619386,True,False,False,False,0.7378089733418811,22.38588386684683
NCL,2116443.9169472544,0.05924267433061849,False,False,False,True,7.166296746205993,247.5685897992729
EST,1904677.907438194,0.053315002619035594,True,False,False,False,1.3938622422204532,40.49849329863874
SVN,1824852.759810028,0.05108056815731353,True,False,False,False,0.856341974940252,22.91141100155575
MMR,1794785.601554401,0.05023893996659135,False,False,True,False,0.0327213199296096,21.977206825102403
MRT,1772579.9264939225,0.04961736735350886,False,False,True,False,0.33350108164132,151.76313712400136
ROU,1734836.313360638,0.04856086282579084,True,False,False,False,0.09120986306455034,4.0469452665642764
CYP,1714529.107671142,0.04799243142839149,True,False,False,False,1.250792708006792,41.588753597322956
LBN,1638741.9118284287,0.04587102574133847,False,False,False,False,0.28015455065183864,63.0973513690488
LVA,1601325.2305206463,0.04482367256202682,True,False,False,False,0.8666188060410959,32.93629115993709
BEN,1587385.9705674334,0.0444334902230546,False,False,True,False,0.10715111928260858,64.61608619222872
BES,1512711.6285163115,0.042343235106174944,False,False,False,True,,
TUN,1492337.3571275596,0.04177292643182628,True,False,False,False,0.12085099688260009,25.952412901959086
HRV,1485988.791689375,0.04159521985916005,True,False,False,False,0.38336225986517075,14.144167283648526
SLE,1461691.3523021836,0.04091509539323063,False,False,True,False,0.16572851387483467,195.8280319229141
ISL,1446025.0324392107,0.04047656986549536,False,False,False,False,3.685041519554364,37.478752114648245
CUB,1308741.9687495043,0.03663379578197046,False,True,False,False,0.11965965784392082,12.191127959884346
