iso3,share_pct,resolved,sids,ldc,population,t_per_capita,t_per_musd,net_all,net_developing,net_sids_ldc
CIV,0.1732711047705789,True,False,False,32711547.0,0.1892331290322219,62.041573571021935,28.244403560188047,38.40297178199884,-18.923312903222183
ISR,0.1676527648552032,True,False,False,10122800.0,0.5916735745000782,9.806173111595616,-11.999640986597592,-59.16735745000783,-59.16735745000783
GTM,0.1669141219673826,True,False,False,18687881.0,0.3190840764962079,48.35940525179406,15.259308813789444,25.417877035600245,-31.908407649620784
URY,0.164928374298046,True,False,False,3384688.0,1.740799871647984,69.03601026062216,-126.9122707013881,-174.07998716479833,-174.07998716479833
PNG,0.1629463190587454,False,True,False,10762817.0,0.5408672779073623,179.12294766936765,-6.919011327326003,3.239556894484802,389.2692437116582
POL,0.1448394508344264,True,False,False,36435861.0,0.1420136018375269,4.997034197305674,32.966356279657546,-14.201360183752687,-14.201360183752687
COG,0.1434805949327516,False,False,False,6484437.0,0.7904838529352285,314.3409494163605,-31.880668830112597,-21.722100608301798,-79.04838529352284
CRI,0.1429865400224455,True,False,False,5152950.0,0.9913142253281853,49.639925670915225,-51.963706069408275,-99.13142253281852,-99.13142253281852
KEN,0.1367847566177069,True,False,False,57532493.0,0.0849369414696279,35.946653075791104,38.67402231644744,48.83259053825823,-8.493694146962792
NAM,0.1310811522017044,True,False,False,3092816.0,1.5141129581617785,310.5283156563155,-104.24357935276754,-94.08501113095673,-151.41129581617776
VEN,0.1285853924224216,True,False,False,28516896.0,0.161087370482483,46.093261526736406,31.058979415161943,41.21754763697274,-16.10873704824829
CMR,0.1251292816455502,True,False,False,29879337.0,0.1496098213234581,75.85237199228426,32.20673433106441,42.36530255287521,-14.96098213234582
IRN,0.1250035759939613,True,False,False,92417681.0,0.0483213968196561,12.313128347731777,42.33557678144461,52.49414500325541,-4.832139681965618
SEN,0.1187672821195124,False,False,True,18931966.0,0.2241161802067529,114.65433772121736,24.756098442734938,34.91466666454574,420.9443534817192
FIN,0.1131356713750549,True,False,False,5646436.0,0.7158091704483408,12.748481944664654,-24.41320058142384,-71.58091704483408,-71.58091704483408
DJI,0.1093187339551402,False,False,True,1184076.0,3.298276985595091,844.4983617376379,-282.65998209609876,-272.50141387428795,113.52827294288548
TZA,0.1021500070683287,True,False,True,70545865.0,0.0517295794362034,40.48331921550593,41.9947585197899,52.153326741600694,438.1830135587742
